truth_idx,det_idx,x_true,y_true,x_det,y_det,err_px
0,17,491.49648639603305,210.71279419450613,491.4982467841224,210.71081106588645,0.0026517476024867466
1,38,281.73790328478475,395.02803936295226,281.7871442357184,395.009193193286,0.05272427676071124
2,30,544.4822978645254,333.32353753304807,544.4910220612004,333.30702203776605,0.01867814744651865
3,13,443.5523861911618,152.56285488403114,443.52245183555294,152.52695258116836,0.04674442209044052
4,37,65.95501977766861,394.8330674501637,65.9848088955273,394.94370950890294,0.11458209591754323
5,36,617.7395921246092,382.02019059350965,617.7882414737404,382.00642586520877,0.05055914275467464
6,14,483.47345344596096,187.5649246280613,483.42947259503705,187.5870683342332,0.04924082626254375
7,10,499.0762551033731,141.36089643149376,499.11424825981976,141.40630932176583,0.05920988548918906
8,29,87.19913405489172,325.04290485233855,87.18561008472277,325.01380516881215,0.03208877296605499
9,4,288.941597122625,72.12465736193838,288.8828934339688,72.14500526225899,0.062130186779907164
10,6,239.11956316959586,100.15722235340047,239.0385110732686,100.16765131470943,0.0817202885030789
11,0,587.1548830192247,10.430817703968568,587.2254130509682,10.464699321281179,0.07824608213486206
12,35,410.059565170496,373.7067599159965,410.15787349040903,373.7003765879197,0.09851534216282448
13,27,522.0487699075395,316.820499171887,522.1133661050009,316.831913102798,0.06559684859281179
14,31,284.5772884659093,335.60706643987214,284.53361032457184,335.5465621092956,0.0746227448517445
15,33,149.25143983727034,370.81972845623704,149.3132125817499,370.71659608011106,0.12021713258070929
16,18,354.17007667191257,220.8547514008664,354.16324984432816,220.84725844941838,0.010136562349717377
17,24,46.94960232121375,272.0333973140485,46.98284207325266,272.01137948120913,0.03987061673150414
18,5,525.0971136673563,72.14540112748837,525.033127451535,72.04956402559566,0.1152344823146299
19,3,402.4219138504126,60.37101426776363,402.4601731789232,60.33058551409355,0.05566201884048274
20,28,481.56292529344404,318.4757801943598,481.6366833013118,318.48776291607305,0.07472502488642398
21,19,228.9332560492976,226.53083206269974,228.8163448251221,226.51582480122542,0.11787048924635508
22,23,614.6569632712094,270.400025620234,614.5678361987678,270.4567832140664,0.10566484514561238
23,32,566.0938219476958,363.4894675558679,566.0556649874248,363.49475662496525,0.03852178434386753
24,25,494.2680691681749,302.7787371202753,494.32229590201126,302.69753831469535,0.09764110143873686
25,20,128.8438311153317,264.96800070662607,128.84871269900495,264.98443660577084,0.017145513694718683
26,22,299.1673483331234,267.5905369073627,299.2323197856122,267.5452501323103,0.07919710621704984
27,12,34.42115738280521,148.6407456971773,34.465880158461864,148.56093435204187,0.09148758098649902
28,1,103.58522203428494,21.361110908659764,103.53618625322312,21.44100760865518,0.09374428246298569
29,16,434.5886447297766,210.51030338228085,434.64942370526626,210.50520184925247,0.06099270038956846
30,7,473.22110959829354,106.99645753390061,473.19491345451195,106.99883575309596,0.026303875675779423
31,15,612.6610925038154,197.37434797568045,612.5691417745468,197.44608025962557,0.11662099799359629
32,39,210.96667419448312,404.6858321429654,210.98922290075345,404.7645619930533,0.08189525901617192
33,8,238.90777597782792,116.01580041324878,238.8741807313058,116.0076534819053,0.03456896121084572
34,2,300.94193785865576,34.16907762710476,300.9812424714202,34.17273047495521,0.039473989942520125
35,9,125.60907078676284,138.1248936822504,125.55632217336442,138.21018805243975,0.10028731625412844
36,11,88.33086234000525,143.81469111927456,88.413675703637,143.76069451797775,0.09886195500600398
37,26,304.79128381743453,315.4530958627331,304.74880882259794,315.4761032628109,0.04830595868740068
38,21,149.04525250585345,266.5769829910357,149.01552157789297,266.54129523192324,0.04644937273916414
39,34,426.3035606712515,372.2965654435887,426.34311930598295,372.3401609207971,0.05886808315924789
